proxy,depth,upper_age,lower_age,age,variable,count
llaviucu_diatoms_counts,185,3227,3245,NA,Aulacoseira.cf.distans,7
llaviucu_diatoms_counts,10,-28,-25,NA,Aulacoseira.granulata,1
llaviucu_diatoms_counts,80,1349,1354,NA,Aulacoseira.granulata,1
llaviucu_diatoms_counts,1,-63,-59,NA,Brachysira.microcephala.sensu..neoxilis,24
llaviucu_diatoms_counts,2,-59,-55,NA,Brachysira.microcephala.sensu..neoxilis,31
llaviucu_diatoms_counts,3,-55,-51,NA,Brachysira.microcephala.sensu..neoxilis,37
llaviucu_diatoms_counts,4,-51,-46,NA,Brachysira.microcephala.sensu..neoxilis,24
llaviucu_diatoms_counts,5,-46,-42,NA,Brachysira.microcephala.sensu..neoxilis,37
llaviucu_diatoms_counts,6,-42,-38,NA,Brachysira.microcephala.sensu..neoxilis,32
llaviucu_diatoms_counts,7,-38,-35,NA,Brachysira.microcephala.sensu..neoxilis,29
llaviucu_diatoms_counts,8,-35,-31,NA,Brachysira.microcephala.sensu..neoxilis,32
llaviucu_diatoms_counts,9,-31,-28,NA,Brachysira.microcephala.sensu..neoxilis,21
llaviucu_diatoms_counts,10,-28,-25,NA,Brachysira.microcephala.sensu..neoxilis,17
llaviucu_diatoms_counts,11,-25,-21,NA,Brachysira.microcephala.sensu..neoxilis,19
llaviucu_diatoms_counts,12,-21,-15,NA,Brachysira.microcephala.sensu..neoxilis,19
llaviucu_diatoms_counts,13,-15,-13,NA,Brachysira.microcephala.sensu..neoxilis,28
llaviucu_diatoms_counts,14,-13,-8,NA,Brachysira.microcephala.sensu..neoxilis,13
llaviucu_diatoms_counts,15,-8,-6,NA,Brachysira.microcephala.sensu..neoxilis,18
llaviucu_diatoms_counts,17,3,9,NA,Brachysira.microcephala.sensu..neoxilis,19
llaviucu_diatoms_counts,18,9,11,NA,Brachysira.microcephala.sensu..neoxilis,25
llaviucu_diatoms_counts,19,11,16,NA,Brachysira.microcephala.sensu..neoxilis,3
llaviucu_diatoms_counts,20,16,24,NA,Brachysira.microcephala.sensu..neoxilis,68
llaviucu_diatoms_counts,21,24,35,NA,Brachysira.microcephala.sensu..neoxilis,34
llaviucu_diatoms_counts,22,35,45,NA,Brachysira.microcephala.sensu..neoxilis,34
llaviucu_diatoms_counts,23,45,46,NA,Brachysira.microcephala.sensu..neoxilis,45
llaviucu_diatoms_counts,24,46,54,NA,Brachysira.microcephala.sensu..neoxilis,41
llaviucu_diatoms_counts,25,54,63,NA,Brachysira.microcephala.sensu..neoxilis,40
llaviucu_diatoms_counts,26,63,71,NA,Brachysira.microcephala.sensu..neoxilis,35
llaviucu_diatoms_counts,27,71,78,NA,Brachysira.microcephala.sensu..neoxilis,36
